对话ID,对话内容,说话人物-文件名,BGM,场景
DialogID,Content,Character,BGM,Background
1001, 墨子与主角策马进入村落，发现道路两侧堆满供品：粟米、布匹、陶罐，空气中弥漫着腐烂食物的气味。村口石碑上“恶神显灵”四个字被朱砂反复涂抹。,旁白,,村庄
1002,这村子的炊烟比荒村还稀薄。主角踢开路上半掩的柴门，门后蜷缩着瑟瑟发抖的孩童。,主角,,村庄
1003,莫要惊扰神明！祭司突然从人群后方冲出，青铜铃铛在手中疯狂摇晃，"再不献祭，恶神会夺走你们的性命！"他脖颈青筋暴起，破衣下露出金丝内衬。,祭司,,村庄
1004,墨子突然按住主角肩膀："观察墙缝——供品堆向房间的路径异常干净，但暗门方向却有拖拽痕迹。"他指向墙根处新鲜的泥土刮痕。,墨子,,村庄
1005,三日前我曾见祭司深夜潜入！年轻樵夫突然站出，却被祭司的随从强行拖开，"他说...说要给神像喂食...",村民A,,村庄
1006,主角借火把照亮墙面裂缝，发现暗门后方传来细碎响动。碎片拼合出的"恶神"雕像残片上，竟刻着与祭司腰间玉佩相同的纹章。,旁白,,房间
1007,墨先生，这雕像本该供在神庙正殿...主角突然顿悟，"可神庙的空基座，和这房间的暗门尺寸完全吻合。",主角,,房间
1008,夜幕降临，主角与墨子潜至暗门后方，发现门后竟是祭司的私人密室，堆满从村民处敛来的贡品。,旁白,,夜晚房间
1009,"""大胆！竟敢窥视神明领域！""祭司突然现身密室门口，手中青铜铃化作武器直刺主角咽喉。",祭司,,密室
1010,墨子挥剑格挡，墙上倒影因剑光折射突然显现——竟是祭司手持铃铛的倒影！"所谓神像，不过是铜铃与墙洞的光影戏法！",墨子,,密室
1011,"""你们...怎能揭穿神明的真容！""祭司疯狂摇晃铃铛，试图用噪音掩盖真相，""神怒之下，必降灾祸！""",祭司,,密室
1012,主角抓起雕像残片掷向墙面裂缝："看！当光线穿透这里，'恶神'的倒影就会显现！"村民们惊恐的呼喊转为愤怒的低吼。,主角,,房间
1013,"""那夜我看见的，是祭司的影子！""樵夫颤抖着指向密室中的祭司，""他根本不是在供奉神明，而是在清点贡品！""",村民A,,房间
1014,暴怒的村民冲向密室，祭司夺门而逃，青铜铃铛滚落时露出底座暗格——里面塞满伪造的“神谕”竹简。,旁白,,密室
1015,"""原来所谓恶神，不过是几张浸过鸡血的竹简！""主角展开伪造的神谕，上面“需日日献祭”的字样正在火光中碳化。",主角,,密室
1016,墨子将祭司的玉佩与雕像纹章并置："此纹章与百里外商贾世家的徽记相同——看来这敛财把戏，早有预谋。",墨子,,村庄
1017,"""求两位大人明鉴！""祭司突然跪地痛哭，""我本是世家赘婿，为还高利贷..."" | 祭司 | 断续的抽泣声",祭司,,村庄
1018,主角扶起一位老妇："若恶神当真存在，为何不取走富户的金玉，独要穷人的粟米？"老妇含泪将布包中的粟米倒回主角行囊。,主角,,村庄
1019,次日清晨，墨子与主角牵马离开，村落广场上，村民正用剩余贡品重建祠堂，墙上“敬天爱人”四字墨迹未干。,旁白,,村庄
